wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q25440529,Alexandra Leitão,Alexandra Leitão,female,1973-04-08T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815971,Minister for Modernization of the State and Public Administration,Q25440529-FE243797-E787-487A-ABB8-14B27EF6C6C2
Q72426658,Ana Abrunhosa,Ana Abrunhosa,female,1970-07-04T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815820,Minister for Territorial Cohesion,Q72426658-654F92A4-49B2-48DF-9DFD-75FD61A7D694
Q52112309,Ana Mendes Godinho,Ana Mendes Godinho,female,1972-06-29T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815771,"Minister of Labour, Solidarity and Social Security",Q52112309-2588756A-BF70-42C3-8DC7-66828360CF26
Q610788,António Costa,António Costa,male,1961-07-17T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q1723031,Prime Minister,Q610788-2f29e5e6-473c-1859-41e1-c08f6b0a0fe4
Q769747,Augusto Santos Silva,Augusto Santos Silva,male,1956-08-20T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q4294919,Minister of State for Foreign Affairs,Q769747-9C6E18E1-0858-45A9-A791-8E6022050068
Q21600813,Eduardo Cabrita,Eduardo Cabrita,male,1961-09-26T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q43186728,Minister for Home Affairs,Q21600813-13909228-43bc-32b2-edcc-80f76686d75b
Q5482965,Francisca Van Dunem,Francisca Van Dunem,female,1955-11-05T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q43186489,Minister of Justice,Q5482965-D7FA9BC8-35FD-4837-BB39-B5C27791F456
Q30930777,Graça Fonseca,Graça Fonseca,female,1971-08-13T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815497,Minister of Culture,Q30930777-56599830-3D81-47CE-AA20-D0836823C771
Q57343622,João Gomes Cravinho,João Gomes Cravinho,male,1964-06-16T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q25906445,Minister of National Defence,Q57343622-2151ad4c-4ba2-faf8-c236-49fe371065e7
Q96200181,João Leão,João Leão,male,1974-02-15T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q99281259,Minister of State for Finance,Q96200181-d56dcc44-4be8-d422-4cd8-66ffc28404e7
Q23800376,João Pedro Matos Fernandes,João Pedro Matos Fernandes,male,1967-12-12T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815370,Minister for the Environment and Climate Action,Q23800376-2BAF86C5-1090-4FA6-9651-92464B2BC68A
Q23905333,Manuel Heitor,Manuel Heitor,male,1958-09-21T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815200,"Minister for Science, Technology and Higher Education",Q23905333-94214734-9149-4A3D-BD30-D803204E0FB9
Q72410716,Maria do Céu Antunes,Maria do Céu Albuquerque,female,1970-07-10T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815192,Minister of Agriculture,Q72410716-C985488D-2258-41FD-9D40-744EAE9390F3
Q28973799,Mariana Vieira da Silva,Mariana Vieira da Silva,female,1978-01-01T00:00:00Z,9,https://www.portugal.gov.pt/en/gc22/government,Q107815186,Minister of State for the Presidency,Q28973799-68055E2D-9B79-4795-BA36-1448A83922BC
Q57339530,Marta Temido,Marta Temido,female,1974-03-02T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q23196603,Minister for Health,Q57339530-d1fd2e3f-4ce8-98af-50af-2610153d29a0
Q85875924,Nelson de Souza,Nelson de Souza,male,1954-12-11T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815181,Minister for Planning,Q85875924-3F61FA8E-EEC3-4DEF-B5E6-089CBF84DF54
Q10347660,Pedro Nuno Santos,Pedro Nuno Santos,male,1977-04-13T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107815037,Minister for Infrastructure and Housing,Q10347660-61B87F16-6393-4F5E-BDDE-53F0E0B8D59F
Q42305316,Pedro Siza Vieira,Pedro Siza Vieira,male,1964-07-14T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107816158,Minister of State for the Economy and the Digital Transition,Q42305316-3A816775-E138-4A5B-8452-C80FBB6DB5C5
Q16596372,Ricardo Serrão Santos,Ricardo Serrão Santos,male,1954-10-11T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q107814783,Minister of Maritime Affairs,Q16596372-C489B306-ABB1-4CF9-99C3-61536798F87D
Q23799289,Tiago Brandão Rodrigues,Tiago Brandão Rodrigues,male,1977-06-03T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q30121475,Minister of Education,Q23799289-85d41c20-4c3d-47e6-b21f-4f343e242a9b
Q108114536,Ângela Ferreira,Ângela Ferreira,female,1975-06-12T00:00:00Z,11,https://www.portugal.gov.pt/en/gc22/government,Q108123940,Deputy Minister for Cultural Heritage,Q108114536-1c7ef20a-4ab4-6281-2c38-39554e96f48b
